"","state2","cloc2"
"1","Abia.1","22"
"2","Abuja.1","37"
"3","Adamawa.1","8"
"4","Akwa Ibom.1","1"
"5","Anambra.1","2"
"6","Bauchi.1","3"
"7","Bayelsa.1","31"
"8","Benue.1","5"
"9","Borno.1","6"
"10","Cross River.1","7"
"11","Delta.1","23"
"12","Ebonyi.1","32"
"13","Edo.1","4"
"14","Ekiti.1","33"
"15","Enugu.1","24"
"16","Gombe.1","34"
"17","Imo.1","9"
"18","Jigawa.1","25"
"19","Kaduna.1","10"
"20","Kano.1","11"
"21","Katsina.1","12"
"22","Kebbi.1","26"
"23","Kogi.1","27"
"24","Kwara.1","13"
"25","Lagos.1","14"
"26","Nassarawa.1","35"
"27","Niger.1","15"
"28","Ogun.1","16"
"29","Ondo.1","17"
"30","Osun.1","28"
"31","Oyo.1","18"
"32","Plateau.1","19"
"33","Rivers.1","20"
"34","Sokoto.1","21"
"35","Taraba.1","29"
"36","Yobe.1","30"
"37","Zamfara.1","36"
